// Set Index OffsetX OffsetY ScaleX ScaleY Rotation Alpha Red Green Blue
[Texture]
Tile 0 0 0 1.0 1.0 0 255 255 255 255
Tile 0 64 0 1.0 1.0 0 255 255 255 255
Tile 0 128 0 1.0 1.0 0 255 255 255 255
Tile 0 192 0 1.0 1.0 0 255 255 255 255
Tile 0 256 0 1.0 1.0 0 255 255 255 255
Tile 0 320 0 1.0 1.0 0 255 255 255 255
Tile 0 0 64 1.0 1.0 0 255 255 255 255
Tile 0 64 64 1.0 1.0 0 255 255 255 255
Tile 0 128 64 1.0 1.0 0 255 255 255 255
Tile 0 192 64 1.0 1.0 0 255 255 255 255
Tile 0 256 64 1.0 1.0 0 255 255 255 255
Tile 0 320 64 1.0 1.0 0 255 255 255 255
Tile 0 0 128 1.0 1.0 0 255 255 255 255
Tile 0 64 128 1.0 1.0 0 255 255 255 255
Tile 0 128 128 1.0 1.0 0 255 255 255 255
Tile 0 192 128 1.0 1.0 0 255 255 255 255
Tile 0 256 128 1.0 1.0 0 255 255 255 255
Tile 0 320 128 1.0 1.0 0 255 255 255 255
Tile 0 0 192 1.0 1.0 0 255 255 255 255
Tile 0 64 192 1.0 1.0 0 255 255 255 255
Tile 0 128 192 1.0 1.0 0 255 255 255 255
Tile 0 192 192 1.0 1.0 0 255 255 255 255
Tile 0 256 192 1.0 1.0 0 255 255 255 255
Tile 0 320 192 1.0 1.0 0 255 255 255 255
Tile 0 0 256 1.0 1.0 0 255 255 255 255
Tile 0 64 256 1.0 1.0 0 255 255 255 255
Tile 0 128 256 1.0 1.0 0 255 255 255 255
Tile 0 192 256 1.0 1.0 0 255 255 255 255
Tile 0 256 256 1.0 1.0 0 255 255 255 255
Tile 0 320 256 1.0 1.0 0 255 255 255 255
[/Texture]
